FURO,X,Y,Z,PROF
DSV-FD0053,8427817.66,641801.374,916.917,115.05
DSV-FD0054,641470.594,8426466.586,900.569,170.55
DSV-FD0055,8426158.555,641421.599,868.725,188.6
DSV-FD0056,641652.567,8427395.716,892.06,215.3
DSV-FD0057,641366.01,8427258.534,899.102,127.2
DSV-FD0058,641566.389,8427284.036,886.264,209.4
DSV-FD0059,641705.995,8427704.741,863.868,254.75
DSV-FD0060,641480.232,8425561.714,900.446,233.95
DSV-FD0061,641763.435,8427309.874,890.616,173.2
DSV-FD0062,641445.094,8426664.728,896.101,160.2
DSV-FD0063,8426774.136,641520.761,912.94,108.7
DSV-FD0064,641389.963,8426355.648,872.264,300.05
DSV-FD0065,641765.498,8425698.111,918.659,236.5
DSV-FD0066,641650.556,8425783.945,898.829,235.4
DSV-FD0067,641851.278,8427421.944,905.981,183.7
DSV-FD0068,641849.001,8425104.339,901.048,220.3
DSV-FD0069,641479.835,8425561.595,900.155,236.1
DSV-FD0070,641805.574,8424595.73,883.594,209.5
DSV-FD0071,641924.083,8427732.817,920.536,120.25
DSV-FD0072,8425647.888,641369.331,889.176,163.8
DSV-FD0073,641728.372,8425189.817,899.588,359.1
DSV-FD0074,641452.364,8425759.918,897.174,406.25
DSV-FD0075,641679.759,8425586.852,905.378,290.15
DSV-FD0076,641817.819,8424496.148,876.598,262.95
DSV-FD0077,641592.96,8425474.925,902.523,423.15
DSV-FD0078,641780.562,8426002.062,919.455,103.65
DSV-FD0079,641787.034,8425498.905,913.924,264.2
DSV-FD0080,641535.301,8425165.421,882.487,201.3
DSV-FD0081,642007.798,8424620.923,877.831,180.45
DSV-FD0082,642112.273,8424533.585,888.897,142.65
DSV-FD0083,641392.728,8427866.132,837.302,249.1
DSV-FD0084,641895.398,8424707.686,874.712,204.55
DSV-FD0085,641454.855,8428174.818,840.12,271
DSV-FD0086,641929.336,8425215.895,922.371,246
DSV-FD0087,641379.86,8428066.266,833.202,325.75
DSV-FD0088,641490.32,8427978.928,855.809,223.3
DSV-FD0089,641871.336,8424905.898,885.244,165.8
DSV-FD0090,8428003.433,641678.319,897.699,210.4
DSV-FD0091,641761.005,8428114.598,928.405,108.3
DSV-FD0092,641872.991,8428028.163,945.391,125.6
DSV-FD0093,8428150.577,641256.211,809.814,235.8
DSV-FD0094,641587.13,8427891.136,870.352,247.35
DSV-FD0095,8425240.526,642128.451,922.821,152.75
DSV-FD0096,8424793.883,641782.039,877.822,193.05
DSV-FD0097,641787.95,8427916.575,918.583,167.7
DSV-FD0098,642153.678,8425042.248,928.313,107.3
DSV-FD0099,641505.417,8427780.124,848.835,215.45
DSV-FD0100,641615.773,8427693.575,850.492,302.35
DSV-FD0101,641415.183,8427668.123,854.164,231.15
DSV-FD0102,641954.068,8425017.152,903.934,141.05
DSV-FD0103,641755.363,8424992.034,887.288,147.65
DSV-FD0104,641729.1,8427607.112,871.929,239.5
DSV-FD0105,641329.367,8427555.046,860.152,211.7
DSV-FD0106,641216.457,8427640.551,837.294,249.65
DSV-FD0107,641529.822,8427581.408,859.28,196.95
DSV-FD0108,641118.488,8427727.879,828.435,396.75
DSV-FD0109,641657.982,8424979.671,881.524,178.35
DSV-FD0110,641748.548,8425091.731,891.055,161.7
DSV-FD0111,641131.636,8427530.563,851.274,285.55
DSV-FD0112,8427520.173,641839.289,909.645,166.85
DSV-FD0113,641855.247,8425004.939,893.185,119.6
DSV-FD0114,641791.631,8424694.32,876.593,222.45
DSV-FD0115,642016.941,8424521.464,877.482,221.8
DSV-FD0116,641983.228,8424718.812,884.993,161.8
DSV-FD0117,641881.823,8424806.514,877.894,212.7
DSV-FD0118,642126.056,8424434.669,883.047,163.3
DSV-FD0119,641903.379,8424608.124,873.729,238.5
DSV-FD0120,641970.342,8424918.416,897.474,139.4
DSV-FD0121,8424892.907,641769.288,880.348,157.8
DSV-FD0122,642116.881,8424635.368,902.216,114.4
DSV-FD0123,642082.922,8424832.19,914.695,136.2
DSV-FD0124,642164.093,8424943.021,918.017,121.7
DSV-FD0125,642251.577,8425054.622,921.533,161.9
DSV-FD0126,642137.855,8425141.064,934.297,218.6
DSV-FD0127,642030.292,8425228.122,917.183,123.8
DSV-FD0128,642037.216,8425328.43,910.878,137.2
DSV-FD0129,641632.444,8425177.795,892.063,194.8
DSV-FD0130,641906.862,8425313.264,910.757,109.85
DSV-FD0131,641888.525,8425512.296,919.921,137.1
DSV-FD0132,641826.041,8425302.982,916.517,286.05
DSV-FD0133,8425277.257,641618.778,898.842,119.6
DSV-FD0134,641803.655,8425401.192,911.325,103.7
DSV-FD0135,641959.565,8425425.083,910.079,157.3
DSV-FD0136,641526.454,8425265.273,890.482,181.5
DSV-FD0137,641694.906,8425487.797,906.978,127.3
DSV-FD0138,641866.54,8425710.912,924.61,136.4
DSV-FD0139,641760.501,8425797.583,911.488,165.5
DSV-FD0140,641428.106,8425249.643,884.79,173.4
DSV-FD0141,641668.697,8425686.071,908.046,184.7
DSV-FD0142,641605.835,8425375.73,906.173,151.2
DSV-FD0143,641497.494,8425462.952,902.501,137.9
DSV-FD0144,641585.142,8425673.11,898.939,198.6
DSV-FD0145,641581.464,8425574.274,899.699,116.8
DSV-FD0146,641550.903,8425771.723,900.323,108.15
DSV-FD0147,641356.874,8425747.211,884.734,146.7
DSV-FD0148,641777.886,8425598.713,929.67,120.45
DSV-FD0149,641515.888,8425364.689,900.252,177
DSV-FD0150,641474.162,8425661.544,902.678,152.7
DSV-FD0151,641732.399,8425996.02,909.53,166.7
DSV-FD0152,8427752.975,641300.894,835.412,312.15
DSV-FD0153,641441.45,8425150.082,878.957,185.3
DSV-FD0154,641350.302,8425844.4,882.405,172.3
DSV-FD0155,641391.645,8425547.322,893.93,140.35
DSV-FD0156,641775.056,8425899.147,914.255,140.65
DSV-FD0157,8425348.495,641412.378,889.628,173.8
DSV-FD0158,641618.568,8426082.496,885.289,185.9
DSV-FD0159,8427469.716,641442.204,875.517,385.45
DSV-FD0160,641402.335,8425448.001,892.099,580.2
DSV-FD0161,641508.712,8426169.152,882.585,250.75
DSV-FD0162,641496.215,8426268.625,889.617,251.5
DSV-FD0163,641701.671,8426193.618,911.538,133.4
DSV-FD0164,641398.669,8426253.641,868.917,326.9
DSV-FD0165,641437.228,8426057.155,867.56,197.9
DSV-FD0166,641913.997,8424506.433,872.32,180.6
DSV-FD0167,641643.389,8427495.196,885.952,282.3
DSV-FD0168,641755.462,8427408.893,897.287,214.8
DSV-FD0169,642138.142,8424333.178,871.751,135
DSV-FD0170,641709.416,8427705.045,864.718,250.4
DSV-FD0171,642063.012,8424424.234,871.877,157.3
DSV-FD0172,641368.757,8426453.51,868.161,273.2
DSV-FD0173,641859.025,8427321.33,899.143,114.95
DSV-FD0174,642161.375,8424134.924,871.573,260.9
DSV-FD0175,641773.781,8427209.278,892.002,147.3
DSV-FD0176,641255.915,8426539.178,869.087,422.7
DSV-FD0177,641664.997,8427296.649,888.22,255.2
DSV-FD0178,8425831.602,641251.357,868.287,200.35
DSV-FD0179,641579.482,8427185.184,902.192,102.45
DSV-FD0180,642262.364,8424248.708,889.565,114.8
DSV-FD0181,642202.486,8424240.951,886.798,178.7
DSV-FD0182,641257.333,8426336.211,867.869,208.7
DSV-FD0183,8424348.352,642254.861,895.302,104.1
DSV-FD0184,641356.123,8427357.996,887.155,124.9
DSV-FD0185,641178.962,8426023.826,867.894,270.8
DSV-FD0186,641212.837,8426128.764,867.973,290.8
DSV-FD0187,641188.498,8427134.956,905.862,287.8
DSV-FD0188,641195.771,8426950.3,898.189,197.35
DSV-FD0189,641502.958,8426873.031,924.267,123.3
DSV-FD0190,641297.751,8426857.573,909.232,187.3
DSV-FD0191,641729.188,8424482.175,878.247,209.5
DSV-FD0192,8424581.019,641714.851,879.816,221.9
DSV-FD0193,8424680.293,641702.574,879.814,303.6
DSV-FD0194,8424767.869,641601.003,882.292,132.35
DSV-FD0195,641217.967,8426736.458,902.167,294.6
DSV-FD0196,641577.451,8424865.97,878.553,295.4
DSV-FD0197,641428.952,8426763.3,903.987,146.85
DSV-FD0198,641343.418,8426651.938,883.488,274.75
DSV-FD0199,641520.124,8426674.228,908.23,105.75
DSV-FD0200,641691.713,8424779.573,879.325,247.5
DSV-FD0201,641677.43,8424878.653,879.554,194.8
DSV-FD0202,641564.176,8424965.053,875.409,246.8
DSV-FD0203,641552.4,8425064.379,879.032,226.4
DSV-FD0204,641467.094,8424953.222,871.712,321
DSV-FD0205,641457.854,8426565.493,901.537,185.15
DSV-FD0206,641145.194,8426120.151,874.807,321.9
DSV-FD0207,641452.006,8425050.97,875.625,154.4
DSV-FD0208,641126.712,8426017.065,872.167,226.7
DSV-FD0209,641192.238,8425926.044,871.876,191.05
DSV-FD0210,641301.494,8425435.033,889.112,160.5
DSV-FD0211,641155.344,8425012.927,874.908,407.7
DSV-FD0212,641238.403,8425124.65,882.685,168.7
DSV-FD0213,641288.631,8425534.32,891.142,149.6
DSV-FD0214,641273.606,8425632.716,889.729,163.1
DSV-FD0215,641313.065,8425335.524,889.209,165.3
DSV-FD0216,8425918,641139.788,869.607,402.7
DSV-FD0217,641066.75,8425001.628,868.661,261.3
DSV-FD0218,641264.483,8425732.429,875.706,156.05
DSV-FD0219,8426215.537,641103.348,880.323,379.45
DSV-FD0220,641334.605,8425237.408,889.24,178.95
DSV-FD0221,641198.396,8426227.867,871.439,289.7
DSV-FD0222,641185.967,8426327.186,883.336,527.75
DSV-FD0223,641088.346,8426314.525,881.12,222.25
DSV-FD0224,641075.556,8426413.646,886.507,189.55
DSV-FD0225,641047.525,8426611.525,877.03,367.6
DSV-FD0226,641160.59,8426525.311,890.898,119.85
DSV-FD0227,641087.855,8426314.529,880.771,255.5
DSV-FD0228,641124.32,8426823.081,888.015,227.2
DSV-FD0229,641061.419,8426512.737,880.628,207.05
DSV-FD0230,8427245.355,641270.395,892.572,202.75
DSV-FD0231,641134.573,8426720.833,886.992,209.05
DSV-FD0232,642025.156,8427644.954,914.481,105.85
DSV-FD0233,641175.652,8426426.47,887.616,167.35
DSV-FD0234,641925.649,8427632.118,910.089,140.25
DSV-FD0235,641859.033,8425809.343,923.852,111.75
DSV-FD0236,642108.742,8425438.423,912.891,272.15
DSV-FD0237,641984.709,8425623.826,917.694,112.3
DSV-FD0238,641584.478,8427389.482,889.382,179.65
DSV-FD0239,8425822.156,641958.833,920.463,146.1
DSV-FD0240,642285.22,8424856.97,908.204,122.6
DSV-FD0241,642220.899,8425352.036,910.842,118.75
DSV-FD0242,641273.994,8427245.615,892.389,239.55
DSV-FD0243,642248.837,8425153.99,929.431,154.75
DSV-FD0244,642309.361,8424657.939,905.608,176.25
DSV-FD0245,642297.419,8424756.824,907.017,155.75
DSV-FD0246,8424744.594,642200.203,911.22,117.75
DSV-FD0247,641268.407,8426451.968,867.632,207.65
DSV-FD0248,642232.047,8425253.082,919.987,110
DSV-FD0249,642210.791,8424645.293,909.448,163.85
DSV-FD0250,642350.008,8425167.112,909.151,128.8
DSV-FD0251,8424545.852,642221.558,905.704,149.45
DSV-FD0252,642355.25,8425066.993,906.975,165.25
DSV-FD0253,642272.018,8424955.494,912.448,121.85
DSV-FD0254,642383.027,8424869.086,906.478,135.5
DSV-FD0255,642333.057,8425265.881,908.405,151.6
DSV-FD0256,642012.689,8427744.083,919.912,122.45
DSV-FD0257,642017.707,8427848.902,932.895,137.5
DSV-FD0258,641788.891,8426304.141,929.206,250.7
DSV-FD0259,8426365.946,641487.265,894.535,200.35
DSV-FD0260,642184.275,8424843.299,912.16,143.2
DSV-FD0261,641745.972,8424383.592,872.696,262.4
DSV-FD0262,641733.536,8424281.082,872.576,217.25
DSV-FD0263,8426279.373,641596.825,907.521,206.85
DSV-FD0264,641330.085,8425035.317,875.391,225.35
DSV-FD0265,641689.011,8427097.549,905.363,325
DSV-FD0266,641265.398,8424925.58,870.716,457.4
DSV-FD0267,641254.504,8425025.572,875.333,203.75
DSV-FD0268,641643.588,8424370.527,881.59,293.45
DSV-FD0269,641617.305,8424568.928,882.405,359.25
DSV-FD0270,641340.589,8425162.424,885.704,562.25
DSV-FD0271,641985.685,8427942.266,940.209,107.2
DSV-FD0272,641652.272,8425077.474,884.662,466.65
DSV-FD0273,641618.445,8424467.829,885.906,326.5
DSV-FD0274,8424370.527,641643.588,881.59,394.45
DSV-FD0275,642077.706,8425147.508,932.732,168.2
DSV-FD0276,641482.964,8426667.895,901.853,218.7
DSV-FD0277,641615.225,8426684.839,919.915,136.7
DSV-FD0278,641611.323,8424567.918,882.557,504.55
DSV-FD0279,641573.156,8424461.86,889.441,423.35
DSV-FD0280,641453.79,8425857.699,881.025,263
DSV-FD0281,641604.074,8424667.627,881.526,293.95
DSV-FD0282,641216.819,8425323.195,888.441,394.75
DSV-FD0283,641552.345,8424761.643,884.556,199.25
DSV-FD0284,641522.088,8424858.67,878.518,274.6
DSV-FD0285,641202.882,8425422.17,884.202,248.75
DSV-FD0286,641337.554,8425237.751,889.439,430.7
DSV-FD0287,641231.64,8425526.642,888.28,386.35
DSV-FD0288,641274.681,8425631.128,898.693,217.7
DSV-FD0289,641098.24,8425915.125,867.42,409.45
DSV-FD0290,641085.574,8426011.047,874.795,411.65
DSV-FD0291,641606.023,8424667.894,881.422,361.5
DSV-FD0292,641265.538,8425728.987,875.992,784.15
DSV-FD0293,641249.665,8425831.621,868.192,409.95
DSV-FD0294,641086.445,8426314.301,880.855,595.75
DSV-FD0295,641143.924,8426119.909,874.796,451.4
DSV-FD0296,641074.616,8426413.581,886.469,470.9
DSV-FD0297,640966.955,8426500.358,881.231,467
DSV-FD0298,641046.387,8426611.596,876.957,446.4
DSV-FD0299,641185.27,8425110.966,877.726,234.6
DSV-FD0300,8424280.901,641731.195,872.792,596.15
DSV-FD0301,640969.157,8426500.702,881.421,564.7
DSV-FD0302,641102.344,8426215.444,880.388,532.25
DSV-FD0303,641732.979,8424284.538,872.722,412.85
DSV-FD0304,641452.723,8427248.69,900.922,338.95
DSV-FD0305,641106.965,8426923.857,887.282,312.9
DSV-FD0306,641273.203,8427245.52,892.329,496.65
DSV-FD0307,641123.837,8426825.105,888.05,341.75
DSV-FD0308,641193.137,8427035.555,902.06,593.1
DSV-FD0309,641161.907,8427334.185,879.5,418.55
DSV-FD0310,641187.956,8427134.662,905.978,631.05
DSV-FD0311,641117.532,8427625.737,839.01,559
DSV-FD0312,641674.285,8427295.904,887.764,255
DSV-FD0313,641640.361,8427478.948,888.782,197.7
DSV-FD0314,641359.899,8427352.104,887.905,438.4
DSV-FD0315,641637.816,8426986.838,912.311,164.7
DSV-FD0316,641274.272,8428062.928,818.931,262.5
DSV-FD0317,641126.733,8427724.948,828.998,503.5
DSV-FD0318,8428064.88,641275.038,819.1,414.6
DSV-FD0319,6421844454,8427972.339,917.978,160
DSV-FD0320,6422923077,8427970.935,911.301,127.4
DSV-FD0321,6418883312,8427213.078,869.369,120
DSV-FD0322,6412427153,8427443.282,866.125,232.15
DSV-FD0323,6413007693,8427632.725,845.437,559.65
DSV-FD0324,6421925305,8428162.362,921.914,130
DSV-FD0325,6419506817,8428111.537,906.908,130
DSV-FD0326,641534.157,8425868.191,871.253,311.5
DSV-FD0327,6416777493,8428088.186,823.468,138.5
DSV-FD0328,6416694553,8424169.419,881.108,229.95
DSV-FD0329,6409599583,8427394.441,840.03,300.05
DSV-FD0330,6417095934,8424101.295,881.776,131.65
DSV-FD0331,641180.929,8425619.797,874.35,347.05
DSV-FD0332,641040.6887,8426681.68,872.31,465.75
DSV-FD0333,640967.7183,8425592.066,852.05,450.05
DSV-FD0334,641042.5087,8427420.532,854.54,350.25
DSV-FD0335,641027.3286,8425383.136,875.58,442.95
DSV-FD0336,641218.0692,8425320.526,888.46,180.4
DSV-FD0337,641159.5289,8425696.847,863.45,185.2
DSV-FD0338,641442.0327,8424847.97,872.977,200.05
DSV-FD0339,641278.2759,8427951.996,791.44,420
DSV-FD0340,641383.9806,8425033.051,874.546,300
DSV-FD0341,641236.0981,8425927.65,859.796,417.2
DSV-FD0342,641219.7591,8426025.068,857.923,404.8
DSV-FD0343,641135.2901,8426626.467,890.34,441.95
DSV-FD0344,641197.9728,8427832.045,814.673,403.7
DSV-FD0345,641121.1759,8427492.502,855.446,400.15
DSV-FD0346,641176.2542,8427333.5,878.685,264.05
DSV-FD0347,641115.701,8426504.774,889.475,306.55
DSV-FD0348,641922.206,8424414.296,868.083,220
DSV-FD0349,8424818825,6413413313,863.457,224.6
DSV-FD0350,641386.5706,8424709951,877.238,240
DSV-FD0351,641855.6487,8424193489,864.038,250
DSV-FD0352,641849.2907,8424296439,864.511,289
DSV-FD0353,641969.701,8424212.126,860.74,205.75
DSV-FD0354,641124.267,8426921.862,878.902,309.4
DSV-FD0355,642065.9563,8424222777,860.575,220
DSV-FD0356,641949.923,8424309.281,861.631,229.85
DSV-FD0357,641917.8039,8424159013,860.503,218.05
DSV-FD0358,8424283849,6417517865,869.909,154.15
DSV-FD0359,642074.4133,8424118.088,859.65,198.05
DSV-FD0360,641992.9861,8424157.524,859.54,169.4
DSV-FD0361,641128.9101,8426778.381,886.294,325.45
DSV-FD0362,641121.0341,8426851.988,885.726,130.35
DSV-FD0363,641045.5307,8426713.967,870.662,150
DSV-FD0364,641858.0977,8424246.584,864.372,295
DSV-FD0365,641974.623,8424110.419,859.752,250.1
